ID,Start_Date,End_Date,Possible_Credit,Credit_Type,Course_Name,School_Year,Term,Status
1758074,2/3/2021,6/25/2021,0.5,SCI,Next Gen Physical Science-B,20-21,S2,
1755052,2/3/2021,6/25/2021,0.5,ELA,English Lang Arts I (Gr 9)-B,20-21,S2,
1893182,5/17/2021,6/25/2021,0.5,OTHER,Seminar-B,20-21,S2,
1893190,5/17/2021,6/25/2021,0.5,OTHER,Army Junior ROTC II-B,20-21,S2,
1940108,7/12/2021,8/6/2021,0.5,MTH,"Algebra I, Virt (Edg)-B",20-21,YR,
1955342,7/12/2021,8/6/2021,0.5,SS,"U.S. Hist & Geo, Virt (Edg)-B",20-21,YR,
2297473,9/7/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2297474,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2297475,9/7/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2297476,9/7/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2297478,9/7/2021,2/2/2022,0.5,OTHER,Army Junior ROTC I-A,21-22,S1,
2495352,9/7/2021,2/2/2022,0.5,OTHER,OG Tutoring Seminar (Gr 9)-A,21-22,S1,
2173529,9/7/2021,2/2/2022,0.5,ELA,"English Lang Arts I (Gr 9), Honors-A",21-22,S1,
2174749,9/7/2021,9/13/2021,0.5,OTHER,Army Junior ROTC I-A,21-22,S1,Dropped
2174443,9/7/2021,9/28/2021,0.5,OTHER,Health Care Occupations I-A,21-22,S1,Dropped
2174685,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2174621,9/7/2021,2/2/2022,0.5,SS,"U.S. History & Geography, Honors-A",21-22,S1,
2423955,9/7/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2513690,9/7/2021,2/2/2022,0.5,OTHER,Foundations of IT and Cybersecurity -A,21-22,S1,
2513682,9/7/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2512335,9/7/2021,2/2/2022,0.5,ELA,"English Lang Arts I (Gr 9), Honors-A",21-22,S1,
2512401,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2513683,9/7/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2513685,9/7/2021,2/2/2022,0.5,OTHER,Algebra Lab SGI-A,21-22,S1,
2513688,9/7/2021,9/18/2021,0.5,PE,Physical Education,21-22,S1,Dropped
2511474,9/7/2021,12/9/2021,0.5,PE,Weight Training,21-22,S1,Dropped
2511487,9/7/2021,2/2/2022,0.5,ART,Concert Band-A,21-22,S1,
2039172,9/7/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2039118,9/7/2021,2/2/2022,0.5,OTHER,Seminar-A,21-22,S1,
2039276,9/7/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2039145,9/7/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2039199,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2102949,9/7/2021,2/2/2022,0.5,ART,Visual Arts - 2D-A,21-22,S1,
2047112,9/7/2021,2/2/2022,0.5,ART,Visual Arts - 3D-A,21-22,S1,
2047106,9/7/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2047108,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2047107,9/7/2021,2/2/2022,0.5,OTHER,Seminar-A,21-22,S1,
2047109,9/7/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2047110,9/7/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2313899,9/7/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2313901,9/7/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2313903,9/7/2021,2/2/2022,0.5,OTHER,Introduction to Computer Technology-A,21-22,S1,
2313905,9/7/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2313908,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2313909,9/7/2021,2/2/2022,0.5,OTHER,Career Exploration-A,21-22,S1,
2047128,9/7/2021,9/16/2021,0.5,OTHER,Seminar-A,21-22,S1,Dropped
2047133,9/7/2021,11/11/2021,0.5,MTH,Algebra I-A,21-22,S1,Dropped
2047131,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2047134,9/7/2021,2/2/2022,0.5,ART,Concert Band-A,21-22,S1,
2047129,9/7/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2087608,9/7/2021,9/16/2021,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,Dropped
2470573,9/7/2021,6/28/2022,0.5,OTHER,"Acad Success Strategies-A, Virt (Edg)-A",21-22,YR,
2464527,9/7/2021,3/25/2022,0.5,OTHER,Engineering Applications-A,21-22,YR,Dropped
2431880,9/7/2021,2/2/2022,0.5,PE,Physical Education,21-22,S1,
2431876,9/7/2021,9/8/2021,0.5,ART,Piano I-A,21-22,S1,Dropped
2227585,9/7/2021,2/2/2022,0.5,OTHER,Office and Administrative Tech-A,21-22,S1,
2227586,9/7/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2227587,9/7/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2227590,9/7/2021,2/2/2022,0.5,PE,Health Education,21-22,S1,
2231747,9/7/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2231749,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2337584,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2337585,9/7/2021,2/2/2022,0.5,OTHER,Seminar-A,21-22,S1,
2337586,9/7/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2337587,9/7/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2337588,9/7/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2337589,9/7/2021,2/2/2022,0.5,OTHER,Army Junior ROTC I-A,21-22,S1,
2337604,9/7/2021,9/29/2021,0.5,PE,Health Education,21-22,S1,Dropped
2078221,9/7/2021,9/17/2021,0.5,MTH,Geometry-A,21-22,S1,Dropped
2536347,9/7/2021,11/29/2021,1.5,OTHER,CTC Hm Furn Eq Instll Cnslt-A,21-22,S1,Dropped
2078219,9/7/2021,2/2/2022,0.5,PE,Health Education,21-22,S1,
2078220,9/7/2021,9/17/2021,0.5,SCI,Next Gen Biology-A,21-22,S1,Dropped
2078218,9/7/2021,2/2/2022,0.5,ELA,English Lang Arts II (Gr 10)-A,21-22,S1,
2223418,9/7/2021,2/2/2022,0.5,ELA,"English Lang Arts I (Gr 9), Honors-A",21-22,S1,
2223423,9/7/2021,9/22/2021,0.5,PE,Health Education,21-22,S1,Dropped
2223424,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2230048,9/7/2021,9/18/2021,0.5,ART,Speech-A,21-22,S1,Dropped
2230049,9/7/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2230050,9/7/2021,2/2/2022,0.5,MTH,"Algebra I, Honors-A",21-22,S1,
2429759,9/7/2021,2/2/2022,0.5,OTHER,Algebra Lab SGI-A,21-22,S1,
2512341,9/7/2021,2/2/2022,0.5,ELA,"English Lang Arts I (Gr 9), Honors-A",21-22,S1,
2512408,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2429968,9/7/2021,9/9/2021,0.5,OTHER,Foundations of IT and Cybersecurity -A,21-22,S1,Dropped
2429755,9/7/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2430364,9/7/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2429925,9/7/2021,9/10/2021,0.5,PE,Physical Education,21-22,S1,Dropped
2294093,9/7/2021,2/2/2022,0.5,ART,Guitar-A,21-22,S1,
2174421,9/7/2021,2/2/2022,0.5,ELA,"English Lang Arts I (Gr 9), Honors-A",21-22,S1,
2174535,9/7/2021,9/22/2021,0.5,OTHER,Health Care Occupations I-A,21-22,S1,Dropped
2174663,9/7/2021,2/2/2022,0.5,SS,"U.S. History & Geography, Honors-A",21-22,S1,
2174727,9/7/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2423993,9/7/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2521663,9/8/2021,9/20/2021,0.5,OTHER,Music and Media Production I-A,21-22,S1,Dropped
2521371,9/8/2021,2/2/2022,0.5,OTHER,Army Junior ROTC I-A,21-22,S1,
2521377,9/8/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2521657,9/8/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2521397,9/8/2021,9/9/2021,0.5,OTHER,African American History-A,21-22,S1,Dropped
2521373,9/8/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2521383,9/8/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2523522,9/8/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2523513,9/8/2021,9/11/2021,0.5,OTHER,African American History-A,21-22,S1,Dropped
2523516,9/8/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2523501,9/8/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2523524,9/8/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2523532,9/8/2021,2/2/2022,0.5,OTHER,Music and Media Production I-A,21-22,S1,
2511453,9/8/2021,2/2/2022,0.5,ELA,"English Lang Arts I (Gr 9), Honors-A",21-22,S1,
2511463,9/8/2021,9/21/2021,0.5,SS,"U.S. History & Geography, Honors-A",21-22,S1,Dropped
2511478,9/8/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2511479,9/8/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2509967,9/8/2021,2/2/2022,0.5,OTHER,Introduction to Computer Technology-A,21-22,S1,
2533537,9/9/2021,9/17/2021,0.5,MTH,Algebra I-A,21-22,S1,Dropped
2533540,9/9/2021,9/17/2021,0.5,SS,U.S. History & Geography-A,21-22,S1,Dropped
2533542,9/9/2021,9/17/2021,0.5,PE,Physical Education,21-22,S1,Dropped
2533541,9/9/2021,9/17/2021,0.5,SCI,Next Gen Physical Science-A,21-22,S1,Dropped
2533535,9/9/2021,9/17/2021,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,Dropped
2533536,9/9/2021,9/17/2021,0.5,LANG,Spanish I-A,21-22,S1,Dropped
2540696,9/9/2021,2/2/2022,0.5,PE,Team Sports-A,21-22,S1,
2541613,9/9/2021,9/18/2021,0.5,ART,Band I-A,21-22,S1,Dropped
2560338,9/11/2021,9/21/2021,0.5,OTHER,"Acad Success Strategies-A, Virt (Edg)-A",21-22,YR,Dropped
2560339,9/11/2021,2/2/2022,0.5,OTHER,Engineering Applications-A,21-22,S1,Dropped
2568843,9/13/2021,2/2/2022,0.5,PE,Physical Education,21-22,S1,
2567078,9/13/2021,2/2/2022,0.5,OTHER,Army Junior ROTC I-A,21-22,S1,
2567888,9/13/2021,2/2/2022,0.5,OTHER,Seminar-A,21-22,S1,
2568008,9/13/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2567882,9/13/2021,2/2/2022,0.5,PE,Health Education,21-22,S1,
2567884,9/13/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2567892,9/13/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2568016,9/13/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2568028,9/13/2021,2/2/2022,0.5,ART,Digital Sound Design I-A,21-22,S1,
2591073,9/16/2021,11/11/2021,0.5,OTHER,Seminar-A,21-22,S1,Dropped
2591068,9/16/2021,11/11/2021,0.5,ELA,"English Lang Arts I (Gr 9), ESL-A",21-22,S1,Dropped
2604488,9/17/2021,2/2/2022,0.5,OTHER,ESE OG Reading Intervention (9-12)-A,21-22,S1,
2601601,9/17/2021,2/2/2022,0.5,MTH,Geometry-A,21-22,S1,
2616183,9/20/2021,2/2/2022,0.5,OTHER,OG Tutoring Seminar (Gr 9)-A,21-22,S1,
2605523,9/20/2021,2/2/2022,0.5,OTHER,OG Tutoring Seminar (Gr 9)-A,21-22,S1,
2612194,9/20/2021,2/2/2022,0.5,ART,Speech-A,21-22,S1,
2612196,9/20/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2612192,9/20/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2612185,9/20/2021,9/28/2021,0.5,SCI,Next Gen Physical Science-A,21-22,S1,Dropped
2612187,9/20/2021,2/2/2022,0.5,PE,Health Education,21-22,S1,
2612190,9/20/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2610085,9/20/2021,9/22/2021,0.5,ART,Speech-A,21-22,S1,Dropped
2604895,9/20/2021,2/2/2022,0.5,OTHER,OG Tutoring Seminar (Gr 9)-A,21-22,S1,
2621850,9/21/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2626358,9/21/2021,10/6/2021,0.5,OTHER,ESE OG Reading Intervention (9-12)-A,21-22,S1,Dropped
2630058,9/22/2021,9/29/2021,0.5,OTHER,Army Junior ROTC II-A,21-22,S1,Dropped
2629959,9/22/2021,9/29/2021,0.5,OTHER,Seminar-A,21-22,S1,Dropped
2628529,9/22/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2628539,9/22/2021,2/2/2022,0.5,OTHER,Employability Skills-A,21-22,S1,
2628540,9/22/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2628542,9/22/2021,2/2/2022,0.5,OTHER,Business Communications - DE WCCCD,21-22,S1,
2628538,9/22/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2628531,9/22/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2634385,9/22/2021,2/2/2022,0.5,LANG,IB Spanish III-A,21-22,S1,
2634386,9/22/2021,2/2/2022,0.5,PE,Physical Education,21-22,S1,
2653159,9/28/2021,10/3/2021,0.5,PE,Physical Education,21-22,S1,Dropped
2651495,9/28/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2651493,9/28/2021,2/2/2022,0.5,OTHER,Seminar-A,21-22,S1,
2651491,9/28/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2651489,9/28/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2651494,9/28/2021,2/2/2022,0.5,ART,Visual Arts - 2D-A,21-22,S1,
2651490,9/28/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2650185,9/28/2021,11/9/2021,0.5,OTHER,African American History-A,21-22,S1,Dropped
2648492,9/29/2021,2/2/2022,0.5,OTHER,OG Tutoring Seminar (Gr 9)-A,21-22,S1,
2663719,10/1/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2663715,10/1/2021,2/2/2022,0.5,MTH,Mathematics Seminar-A,21-22,S1,
2663714,10/1/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2664345,10/1/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2663716,10/1/2021,2/2/2022,0.5,SS,U.S. History & Geography-A,21-22,S1,
2663713,10/1/2021,2/2/2022,0.5,OTHER,Army Junior ROTC I-A,21-22,S1,
2669470,10/4/2021,10/6/2021,0.5,ART,Guitar-A,21-22,S1,Dropped
2678562,10/6/2021,2/2/2022,0.5,ART,Visual Arts - 2D-A,21-22,S1,
2677290,10/6/2021,2/2/2022,0.5,OTHER,OG Tutoring Seminar (Gr 9)-A,21-22,S1,
2709565,11/9/2021,2/2/2022,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2720601,11/11/2021,2/2/2022,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2720614,11/11/2021,2/2/2022,0.5,MTH,Algebra I-A,21-22,S1,
2720626,11/11/2021,2/2/2022,0.5,OTHER,Seminar-A,21-22,S1,
2735468,11/29/2021,2/2/2022,0.5,SCI,Physics-A,21-22,S1,
2735154,11/29/2021,2/2/2022,0.5,SS,Economics,21-22,S1,
2735469,11/29/2021,2/2/2022,0.5,SCI,Environmental Science-A,21-22,S1,
2735481,11/29/2021,2/2/2022,0.5,MTH,"Algebra I, Virt (Edg)-B",21-22,S1,
2740079,12/1/2021,6/28/2022,0.5,OTHER,Study Skills (Gr 9-12)-A *,21-22,YR,
2740535,12/2/2021,6/28/2022,0.5,OTHER,"Acad Success Strategies-A, Virt (Edg)-A",21-22,YR,
2746057,12/9/2021,2/2/2022,0.5,OTHER,Army Junior ROTC I-A,21-22,S1,
2805074,2/2/2022,6/28/2022,0.5,OTHER,Army Junior ROTC I-B,21-22,S2,
2802023,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2801373,2/2/2022,6/28/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,
2807537,2/2/2022,6/28/2022,0.5,OTHER,OG Tutoring Seminar (Gr 9)-B,21-22,S2,
2802404,2/2/2022,6/28/2022,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,
2804494,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2762570,2/2/2022,6/28/2022,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,
2762887,2/2/2022,6/28/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,
2762205,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2762409,2/2/2022,6/28/2022,0.5,OTHER,Army Junior ROTC I-B,21-22,S2,
2762618,2/2/2022,6/28/2022,0.5,OTHER,OG Tutoring Seminar (Gr 9)-B,21-22,S2,
2799706,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2770696,2/2/2022,2/9/2022,0.5,ART,Visual Arts - 2D-B,21-22,S2,Dropped
2772553,2/2/2022,6/28/2022,0.5,SS,"U.S. History & Geography, Honors-B",21-22,S2,
2804886,2/2/2022,6/28/2022,0.5,PE,Health Education,21-22,S2,
2808069,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2777431,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2832134,2/2/2022,6/28/2022,0.5,ELA,"English Lang Arts I (Gr 9), Honors-B",21-22,S2,
2808278,2/2/2022,6/28/2022,0.5,OTHER,Algebra Lab SGI-B,21-22,S2,
2809506,2/2/2022,6/28/2022,0.5,OTHER,OG Tutoring Seminar (Gr 9)-B,21-22,S2,
2808266,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2807749,2/2/2022,6/28/2022,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,
2809213,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2809894,2/2/2022,6/28/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,
2809533,2/2/2022,6/28/2022,0.5,OTHER,Information Technology II-B,21-22,S2,
2523527,2/2/2022,6/28/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,
2567079,2/2/2022,6/28/2022,0.5,OTHER,Army Junior ROTC I-B,21-22,S2,
2523519,2/2/2022,6/28/2022,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,
2523523,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2523535,2/2/2022,6/28/2022,0.5,OTHER,Music and Media Production I-B,21-22,S2,
2523502,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2748692,2/2/2022,6/28/2022,0.5,ART,Concert Band-B,21-22,S2,
2746663,2/2/2022,6/28/2022,0.5,ELA,"English Lang Arts I (Gr 9), Honors-B",21-22,S2,
2747390,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2748515,2/2/2022,6/28/2022,0.5,OTHER,Army Junior ROTC I-B,21-22,S2,
2753584,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2750023,2/2/2022,6/28/2022,0.5,SS,"U.S. History & Geography, Honors-B",21-22,S2,
2746946,2/2/2022,6/28/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,
2748142,2/2/2022,6/28/2022,0.5,OTHER,Seminar-B,21-22,S2,
2747775,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2749088,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2746299,2/2/2022,6/28/2022,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,
2754192,2/2/2022,6/28/2022,0.5,ART,Visual Arts - 2D-B,21-22,S2,
2818359,2/2/2022,2/7/2022,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,Dropped
2816598,2/2/2022,2/7/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,Dropped
2818886,2/2/2022,2/7/2022,0.5,OTHER,Employability Skills-B,21-22,S2,Dropped
2818214,2/2/2022,2/7/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,Dropped
2825398,2/2/2022,2/7/2022,0.5,MTH,Personal Finance-B,21-22,S2,Dropped
2821352,2/2/2022,2/7/2022,0.5,MTH,Algebra I-B,21-22,S2,Dropped
2746869,2/2/2022,6/28/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,
2746384,2/2/2022,6/28/2022,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,
2748226,2/2/2022,6/28/2022,0.5,OTHER,Seminar-B,21-22,S2,
2749000,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2747404,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2753159,2/2/2022,6/28/2022,0.5,ART,Visual Arts - 2D-B,21-22,S2,
2747793,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2748337,2/2/2022,6/28/2022,0.5,ART,Visual Arts - 3D-B,21-22,S2,
2748156,2/2/2022,6/28/2022,0.5,OTHER,Seminar-B,21-22,S2,
2746404,2/2/2022,6/28/2022,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,
2749054,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2746852,2/2/2022,6/28/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,
2313900,2/2/2022,6/28/2022,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,
2313902,2/2/2022,6/28/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,
2313904,2/2/2022,6/28/2022,0.5,OTHER,Introduction to Computer Technology-B,21-22,S2,
2313906,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2312723,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2321991,2/2/2022,6/28/2022,0.5,OTHER,Health Care Occupations I-B,21-22,S2,
2748238,2/2/2022,2/8/2022,0.5,OTHER,Seminar-B,21-22,S2,Dropped
2746441,2/2/2022,6/28/2022,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,
2747560,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2749141,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2748638,2/2/2022,6/28/2022,0.5,ART,Concert Band-B,21-22,S2,
2747176,2/2/2022,6/28/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,
2771571,2/2/2022,6/28/2022,0.5,OTHER,Introduction to Computer Technology-B,21-22,S2,
2804894,2/2/2022,2/14/2022,0.5,PE,Health Education,21-22,S2,Dropped
2227588,2/2/2022,6/28/2022,0.5,SS,U.S. History & Geography-B,21-22,S2,
2227589,2/2/2022,6/28/2022,0.5,MTH,Algebra I-B,21-22,S2,
2227591,2/2/2022,6/28/2022,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2231745,2/2/2022,6/28/2022,0.5,OTHER,Office and Administrative Tech-B,21-22,S2,
